$BestDoubl
'Θ 1 Ori',    'STR',    '05:35:18',    '-05*23:30'
'Σ Ori',    'STR',    '05:38:42',    '-02*36:30'
'Str147Aur',    'STR',    '06:34:18',    '+38*05:30'
'Z UrsaMa',    'STR',    '13:23:54',    '+54*56:30'
'Her2682UMi',    'STR',    '13:40:42',    '+76*51:30'
'16Draconis',    'STR',    '16:36:12',    '+52*55:30'
'E Lyrae',    'STR',    '18:44:18',    '+39*40:30'
'Str2816Cep',    'STR',    '21:39:00',    '+57*29:30'
'A Gem',    'STR',    '07:34:36',    '+31*53:30'
'A Ursa Min',    'STR',    '02:31:48',    '+89*16:30'
'Γ Leonis',    'STR',    '10:20:00',    '+19*51:30'
'Δ Δ Ori',    'STR',    '05:32:00',    '-00*18:30'
'Γ Androm',    'STR',    '02:03:54',    '+42*20:30'
'I Ori',    'STR',    '05:35:30',    '-05*55:30'
'A CaNm Vena',    'STR',    '12:56:00',    '+38*19:30'
'B Cygni',    'STR',    '19:30:42',    '+27*58:30'
'Δ Herc',    'STR',    '17:15:00',    '+24*50:30'
'B Cephei',    'STR',    '21:28:42',    '+70*34:30'
'M Her',    'STR',    '17:46:30',    '+27*43:30'
'H Cass',    'STR',    '00:49:06',    '+57*49:30'
'B Lyrae',    'STR',    '18:50:06',    '+33*22:30'
'A Herc',    'STR',    '17:14:36',    '+14*23:30'
'Δ Gem',    'STR',    '07:20:06',    '+21*59:30'
'Λ Ori',    'STR',    '05:35:06',    '+09*56:30'
'K Gem',    'STR',    '07:44:24',    '+24*24:30'
'H Persei',    'STR',    '02:50:42',    '+55*54:30'
'Γ Her',    'STR',    '16:21:54',    '+19*09:30'
'Δ Cephei',    'STR',    '22:29:12',    '+58*25:30'
'Θ Per',    'STR',    '02:44:12',    '+49*14:30'
'Δ Serpen',    'STR',    '15:34:48',    '+10*32:30'
'70 OphiuX',    'STR',    '18:05:30',    '+02*30:30'
'I Cancer',    'STR',    '08:46:42',    '+28*46:30'
'Ξ Uma',    'STR',    '11:18:12',    '+31*32:30'
'Z Lyra',    'STR',    '18:44:48',    '+37*36:30'
'Ξ Cephei',    'STR',    '22:03:48',    '+64*38:30'
'Θ Serpen',    'STR',    '18:56:12',    '+04*12:30'
'Γ DelphiNs',    'STR',    '20:46:42',    '+16*07:30'
'54 Leo',    'STR',    '10:55:36',    '+24*45:30'
'E Monoc',    'STR',    '06:23:48',    '+04*36:30'
'Rho Herc',    'STR',    '17:23:42',    '+37*09:30'
'K Bootes',    'STR',    '14:13:30',    '+51*47:30'
'B Monoc',    'STR',    '06:28:48',    '-07*02:30'
'Ξ Bootes',    'STR',    '14:51:24',    '+19*06:30'
'38 Gem',    'STR',    '06:54:36',    '+13*11:30'
'Γ Arietis',    'STR',    '01:53:30',    '+19*18:30'
'Str747Ori',    'STR',    '05:35:00',    '-06*00:30'
'Ξ Sco',    'STR',    '16:04:24',    '-11*22:30'
'O Dra',    'STR',    '18:51:12',    '+59*23:30'
'N Draco',    'STR',    '17:32:12',    '+55*11:30'
'Pi Bootis',    'STR',    '14:40:42',    '+16*25:30'
'Ψ Draco',    'STR',    '17:41:54',    '+72*09:30'
'I Bootes',    'STR',    '14:16:12',    '+51*22:30'
'Λ Arietis',    'STR',    '01:57:54',    '+23*36:30'
'95 Herc',    'STR',    '18:01:30',    '+21*36:30'
'Σ Cass',    'STR',    '23:59:00',    '+55*45:30'
'Ω Aur',    'STR',    '04:59:18',    '+37*53:30'
'Phi Taur',    'STR',    '04:20:24',    '+27*21:30'
'30 Taur',    'STR',    '03:48:18',    '+11*09:30'
'Z Cor Bor',    'STR',    '15:39:24',    '+36*38:30'
'14 Aur',    'STR',    '05:15:24',    '+32*31:30'
'Str1835Boo',    'STR',    '14:23:24',    '+08*27:30'
'61 Cygnus',    'STR',    '21:06:54',    '+38*45:30'
'+ Θ 2 Ori',    'STR',    '05:35:24',    '-05*25:30'
'24 Com Ber',    'STR',    '12:35:06',    '+18*23:30'
'11 Aql',    'STR',    '18:59:06',    '+13*37:30'
'32 Camel',    'STR',    '12:49:12',    '+83*25:30'
'K Herc',    'STR',    '16:08:06',    '+17*03:30'
'Str331Per',    'STR',    '03:00:54',    '+52*21:30'
'I Triang',    'STR',    '02:12:24',    '+30*18:30'
'Ψ 5 Aur',    'STR',    '06:46:42',    '+43*35:30'
'12 Lynx',    'STR',    '06:46:12',    '+59*27:30'
'55 Psc',    'STR',    '00:39:54',    '+21*26:30'
'15 Aql',    'STR',    '19:05:00',    '-04*02:30'
'X Taurus',    'STR',    '04:22:36',    '+25*38:30'
'33 Ari',    'STR',    '02:40:42',    '+27*04:30'
'Z Sge',    'STR',    '19:49:00',    '+19*09:30'
'M Dra',    'STR',    '17:05:18',    '+54*28:30'
'Ψ 1 Piscium',    'STR',    '01:05:36',    '+21*28:30'
'Z Cancer',    'STR',    '08:12:12',    '+17*39:30'
'Z Piscium',    'STR',    '01:13:42',    '+07*35:30'
'19 Lynx',    'STR',    '07:22:54',    '+55*17:30'
'Σ Cor Bor',    'STR',    '16:14:42',    '+33*52:30'
'40/41 Dra',    'STR',    '18:00:12',    '+80*00:30'
'8 Lacerta',    'STR',    '22:35:54',    '+39*38:30'
'1 Camel',    'STR',    '04:32:00',    '+53*55:30'
'66 Cet',    'STR',    '02:12:48',    '-02*24:30'
'Str2063Her',    'STR',    '16:31:48',    '+45*36:30'
'57 Aquil',    'STR',    '19:54:36',    '-08*14:30'
'118 Taur',    'STR',    '05:29:18',    '+25*09:30'
'2 CVn',    'STR',    '12:16:06',    '+40*40:30'
'100 Her',    'STR',    '18:07:48',    '+26*06:30'
'12 Aqr',    'STR',    '21:04:06',    '-05*49:30'
'56 Per',    'STR',    '04:24:36',    '+33*58:30'
'Str422Tau',    'STR',    '03:36:48',    '+00*35:30'
